价格,网址,商品名称,裸机重量,厚度,屏幕尺寸,待机时长,屏幕色域,系统,处理器,内存,固态硬盘,显卡
8499,//item.jd.com/100023584840.html,机械革命蛟龙,2-2.5kg,20.0mm以上,17.3英寸,小于5小时,100%sRGB,Windows 10 不带Office,AMD R7,16GB,512GB,RTX3060
,,,,,,,,,,,,
6199,//item.jd.com/100016514926.html,ThinkPadE14,1.5-2kg,15.1-18.0mm,14.0-14.9英寸,none,none,Windows 10 带Office,Intel i7,16GB,512GB,none
,,,,,,,,,,,,
3499,//item.jd.com/100022962610.html,华硕VivoBook 15,1.5-2kg,15.1-18.0mm,15.0-15.9英寸,none,45%NTSC,Windows 10 不带Office,Intel i3,8GB,512GB,none
,,,,,,,,,,,,
8299,//item.jd.com/100026511974.html,华硕灵耀Pro16,1.5-2kg,15.1-18.0mm,16.0-16.9英寸,none,DCI-P3,Windows 10 带Office,AMD R9,16GB,512GB,RTX3050Ti
,,,,,,,,,,,,
5499,//item.jd.com/100021707422.html,神舟Z7-TA5NA,2-2.5kg,20.0mm以上,15.0-15.9英寸,none,none,Windows 10 不带Office,Intel i5,8GB,512GB,RTX3050
,,,,,,,,,,,,
4699,//item.jd.com/100026243826.html,华硕a豆,1-1.5kg,15.1-18.0mm,14.0-14.9英寸,none,100%sRGB,Windows 10 带Office,Intel i5,16GB,512GB,集成显卡
,,,,,,,,,,,,
4799,//item.jd.com/100016777696.html,戴尔Ins 15-3501,none,18.1-20.0mm,15.0-15.9英寸,none,none,Windows 10 带Office,Intel i5,16GB,512GB,MX330
,,,,,,,,,,,,
8499,//item.jd.com/100023979512.html,戴尔Ins 15-7510-R1745S,none,15.1-18.0mm,15.0-15.9英寸,none,none,Windows 10 带Office,Intel i7,16GB,512GB,none
,,,,,,,,,,,,
4999,//item.jd.com/100025195628.html,华硕VivoBook 15X,1.5-2kg,15.1-18.0mm,15.0-15.9英寸,none,100%sRGB,Windows 10 带Office,Intel i5,16GB,512GB,none
,,,,,,,,,,,,
9949,//item.jd.com/100012032157.html,华为MateBook X Pro,1-1.5kg,15.0mm及以下,13.0-13.9英寸,none,100%sRGB,Windows 10 带Office,Intel i7,16GB,512GB,none
,,,,,,,,,,,,
7799,//item.jd.com/100011551115.html,联想拯救者Y7000,none,20.0mm以上,15.0-15.9英寸,none,100%sRGB,Windows 10 带Office,Intel i7,16GB,512GB,RTX3050
,,,,,,,,,,,,
11499,//item.jd.com/100021647674.html,机械革命钛钽,2-2.5kg,20.0mm以上,17.3英寸,小于5小时,100%sRGB,Windows 10 不带Office,Intel i7,16GB,512GB,RTX3070
,,,,,,,,,,,,
